title,description,fraudulent
Data Scientist,"We are looking for a data scientist with experience in Python, ML, and statistics.",0
Software Engineer,"We are looking for a data scientist with experience in Python, ML, and statistics.",0
Marketing Intern,"We are looking for a data scientist with experience in Python, ML, and statistics.",1
Project Manager,"We are looking for a data scientist with experience in Python, ML, and statistics.",0
Data Scientist,"We are looking for a data scientist with experience in Python, ML, and statistics.",0
Software Engineer,"We are looking for a data scientist with experience in Python, ML, and statistics.",0
Marketing Intern,"We are looking for a data scientist with experience in Python, ML, and statistics.",1
Project Manager,"We are looking for a data scientist with experience in Python, ML, and statistics.",0
Data Scientist,"We are looking for a data scientist with experience in Python, ML, and statistics.",0
Software Engineer,"We are looking for a data scientist with experience in Python, ML, and statistics.",0
Marketing Intern,"We are looking for a data scientist with experience in Python, ML, and statistics.",1
Project Manager,"We are looking for a data scientist with experience in Python, ML, and statistics.",0
Data Scientist,"We are looking for a data scientist with experience in Python, ML, and statistics.",0
Software Engineer,"We are looking for a data scientist with experience in Python, ML, and statistics.",0
Marketing Intern,"We are looking for a data scientist with experience in Python, ML, and statistics.",1
Project Manager,"We are looking for a data scientist with experience in Python, ML, and statistics.",0
Data Scientist,"We are looking for a data scientist with experience in Python, ML, and statistics.",0
Software Engineer,"We are looking for a data scientist with experience in Python, ML, and statistics.",0
Marketing Intern,"We are looking for a data scientist with experience in Python, ML, and statistics.",1
Project Manager,"We are looking for a data scientist with experience in Python, ML, and statistics.",0
Data Scientist,"We are looking for a data scientist with experience in Python, ML, and statistics.",0
Software Engineer,"We are looking for a data scientist with experience in Python, ML, and statistics.",0
Marketing Intern,"We are looking for a data scientist with experience in Python, ML, and statistics.",1
Project Manager,"We are looking for a data scientist with experience in Python, ML, and statistics.",0
Data Scientist,"We are looking for a data scientist with experience in Python, ML, and statistics.",0
Software Engineer,"We are looking for a data scientist with experience in Python, ML, and statistics.",0
Marketing Intern,"We are looking for a data scientist with experience in Python, ML, and statistics.",1
Project Manager,"We are looking for a data scientist with experience in Python, ML, and statistics.",0
Data Scientist,"We are looking for a data scientist with experience in Python, ML, and statistics.",0
Software Engineer,"We are looking for a data scientist with experience in Python, ML, and statistics.",0
Marketing Intern,"We are looking for a data scientist with experience in Python, ML, and statistics.",1
Project Manager,"We are looking for a data scientist with experience in Python, ML, and statistics.",0
Data Scientist,"We are looking for a data scientist with experience in Python, ML, and statistics.",0
